fileId,fileUrls from query MCD19A2--61 2022-01-01..2022-12-31 x35.5y32.2 x37.4y31[7],size
7322838260,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022344.h20v05.061.2023014074420.hdf,10929480
7327468224,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022343.h21v05.061.2023016234246.hdf,11153151
7322743367,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022343.h20v05.061.2023014065719.hdf,13400921
7327400974,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022342.h21v05.061.2023016230512.hdf,10823122
7322666458,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022342.h20v05.061.2023014062046.hdf,12756487
7327341665,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022341.h21v05.061.2023016223540.hdf,11116672
7322592729,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022341.h20v05.061.2023014053402.hdf,9480156
7322518410,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022340.h20v05.061.2023014044506.hdf,11396933
7327281801,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022340.h21v05.061.2023016220453.hdf,11522088
7327214612,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022339.h21v05.061.2023016212501.hdf,11757409
7322432797,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022339.h20v05.061.2023014035841.hdf,11967683
7322355166,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022338.h20v05.061.2023014031912.hdf,13703329
7327132535,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022338.h21v05.061.2023016203644.hdf,10603185
7322283601,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022337.h20v05.061.2023014024012.hdf,10869137
7327057133,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022337.h21v05.061.2023016200051.hdf,11314878
7326983785,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022336.h21v05.061.2023016192747.hdf,10906092
7322210311,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022336.h20v05.061.2023014015727.hdf,13822587
7322131081,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022335.h20v05.061.2023014010857.hdf,12612862
7326902502,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022335.h21v05.061.2023016184248.hdf,11244114
7322045101,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022334.h20v05.061.2023014002856.hdf,10381462
7326807641,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022334.h21v05.061.2023016174230.hdf,9333699
7321976496,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022333.h20v05.061.2023013235325.hdf,10261297
7325946166,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022333.h21v05.061.2023015175837.hdf,6766271
7321919017,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022332.h20v05.061.2023013231612.hdf,6875176
7325911098,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022332.h21v05.061.2023015170158.hdf,10138811
7325880479,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022331.h21v05.061.2023015160846.hdf,10791580
7321845269,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022331.h20v05.061.2023013222926.hdf,6782723
7325848814,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022330.h21v05.061.2023015150355.hdf,10589641
7321751054,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022330.h20v05.061.2023013213922.hdf,10715949
7325818410,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022329.h21v05.061.2023015140731.hdf,8932823
7321675021,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022329.h20v05.061.2023013210003.hdf,9181799
7325789614,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022328.h21v05.061.2023015125452.hdf,11129208
7321606227,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022328.h20v05.061.2023013202651.hdf,8547049
7325703048,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022327.h21v05.061.2023015120014.hdf,11742019
7321533371,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022327.h20v05.061.2023013193956.hdf,10535105
7321453562,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022326.h20v05.061.2023013185719.hdf,12458822
7325666634,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022326.h21v05.061.2023015110056.hdf,7613863
7321377205,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022325.h20v05.061.2023013181809.hdf,6974594
7325625410,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022325.h21v05.061.2023015100221.hdf,11508497
7325585426,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022324.h21v05.061.2023015082936.hdf,13865612
7321300095,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022324.h20v05.061.2023013174311.hdf,9746500
7325519747,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022323.h21v05.061.2023015074644.hdf,14259934
7321235720,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022323.h20v05.061.2023013165540.hdf,15604506
7325415480,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022322.h21v05.061.2023015063224.hdf,12731249
7321132741,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022322.h20v05.061.2023013161336.hdf,12872082
7325315814,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022321.h21v05.061.2023015054106.hdf,10132895
7321064314,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022321.h20v05.061.2023013152005.hdf,12840123
7320980710,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022320.h20v05.061.2023013143353.hdf,10843038
7325236098,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022320.h21v05.061.2023015045203.hdf,8632844
7325134237,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022319.h21v05.061.2023015035942.hdf,12722262
7320920228,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022319.h20v05.061.2023013135315.hdf,12080912
7320816489,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022318.h20v05.061.2023013124758.hdf,14881195
7325022333,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022318.h21v05.061.2023015031151.hdf,13653403
7324916393,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022317.h21v05.061.2023015021451.hdf,13655979
7320746177,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022317.h20v05.061.2023013115857.hdf,16531038
7324824661,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022316.h21v05.061.2023015012801.hdf,12021846
7320680910,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022316.h20v05.061.2023013110427.hdf,15303371
7320588279,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022315.h20v05.061.2023013095933.hdf,16276228
7324742747,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022315.h21v05.061.2023015004104.hdf,11247257
7324656339,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022314.h21v05.061.2023014235552.hdf,11366057
7320435062,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022314.h20v05.061.2023013081724.hdf,14225681
7324556443,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022313.h21v05.061.2023014231145.hdf,10850714
7320321180,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MCD19A2.A2022313.h20v05.061.2023013071332.hdf,12886909
