fileId,fileUrls from query MOD13A2--61 2020-12-10..2025-01-20 x35.5y32.2 x37.4y31[7],size
8067308858,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2024049.h20v05.061.2024066065738.hdf,12183376
8019236026,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2024033.h21v05.061.2024051232332.hdf,21711691
8017681274,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2024033.h20v05.061.2024051115340.hdf,12218581
7974521981,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2024017.h20v05.061.2024038041759.hdf,12259188
7974536059,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2024017.h21v05.061.2024038043409.hdf,21867108
7946567799,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2024001.h20v05.061.2024022141221.hdf,11985883
7946507334,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2024001.h21v05.061.2024022131733.hdf,21311212
7914134079,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023353.h21v05.061.2024005164447.hdf,21086073
7913886728,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023353.h20v05.061.2024005134047.hdf,11939338
7885550774,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023337.h20v05.061.2023354010551.hdf,11937464
7885517706,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023337.h21v05.061.2023354005426.hdf,21142155
7873318047,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023321.h21v05.061.2023340012002.hdf,20946368
7873290157,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023321.h20v05.061.2023340003933.hdf,11900463
7865113361,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023305.h21v05.061.2023322214028.hdf,20394670
7865113360,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023305.h20v05.061.2023322214022.hdf,11876700
7853609714,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023289.h21v05.061.2023305234653.hdf,20593135
7853610255,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023289.h20v05.061.2023305234655.hdf,11848880
7845684459,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023273.h21v05.061.2023290140849.hdf,20761848
7845684063,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023273.h20v05.061.2023290140840.hdf,11985955
7822232223,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023257.h20v05.061.2023274001525.hdf,11932127
7822221087,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023257.h21v05.061.2023274000935.hdf,20641008
7810926825,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023241.h20v05.061.2023258001444.hdf,12026275
7810935616,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023241.h21v05.061.2023258002240.hdf,20698517
7801739967,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023225.h21v05.061.2023241235838.hdf,20733992
7801748557,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023225.h20v05.061.2023242000500.hdf,12097566
7788582308,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023209.h21v05.061.2023226000604.hdf,20725487
7788582682,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023209.h20v05.061.2023226000609.hdf,12015284
7776526255,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023193.h21v05.061.2023215104759.hdf,20822624
7776799875,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023193.h20v05.061.2023215105452.hdf,12000842
7770644799,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023177.h21v05.061.2023201052351.hdf,20871086
7770644798,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023177.h20v05.061.2023201052342.hdf,12076624
7653757714,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023161.h20v05.061.2023177232528.hdf,12104263
7653768228,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023161.h21v05.061.2023177232954.hdf,20983905
7618839146,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023145.h20v05.061.2023164003951.hdf,12264627
7618840478,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023145.h21v05.061.2023164004452.hdf,21314594
7581661809,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023129.h21v05.061.2023146132744.hdf,21279535
7581653449,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023129.h20v05.061.2023146132329.hdf,12178940
7549932803,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023113.h21v05.061.2023130001108.hdf,21391879
7549936973,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD13A2.A2023113.h20v05.061.2023130001355.hdf,12189030
